date,u_agent,u_cust,u_wcust,d_vol,d_val,d_com,d_rev,w_vol,w_val,w_com,w_rev,g_vol,g_val,g_com,g_rev,i_vol,i_vol,i_com,i_rev,a_vol,a_val,a_com,a_rev,t_vol,t_val,t_com,t_rev
1-Mar,13071,58053,24111,55196,35903777428.20,37698147,36643.85,25912,9445595873.88,27541104,88463285.73,48660,2423424908.68,4121997.19,0,6163,819640277.56,1016163.03,1199882.18,8759,22329528933.37,0,0,144690,70921967421.69,70377411.22,89699811.76
2-Mar,10912,58404,24082,53982,36393086778.25,37413789,54101.31,26219,9605214176.76,27155609,87414531.97,52718,2913331715.01,4468821.45,0,5346,847966043.08,873217.54,911316.01,8736,22543369925.30,0,0,147001,72302968638.40,69911436.99,88379949.29
3-Mar,10812,52105,20343,48134,30622706837.50,32480749,63330.09,21962,7685338539.49,21697567,70820112.94,47768,2161441763.85,3937641.27,0,4977,820758421.29,807275.94,1016616.17,7763,19549071904.31,0,0,130604,60839317466.44,58923233.21,71900059.20
4-Mar,10901,52157,20799,48075,32434734085.72,33196154,99575.61,22607,8289985093.39,22315528,72318297.00,62998,2995004659.03,5365333.89,0,6307,811497524.49,895412.55,1305055.36,8719,21211245160.74,0,0,148706,65742466523.37,61772428.44,73722927.97
5-Mar,10691,49922,19833,45247,30718395980.02,31469631,106126.38,21352,7678123190.02,20792468,67491824.57,57943,2953755502.16,4849297.31,0,5462,769118686.96,791320.94,954412.92,8358,20555547138.94,0,0,138362,62674940498.10,57902717.25,68552363.87
6-Mar,10231,48517,22168,36966,26596663751.40,27476026,32787.92,23937,8384641508.00,22653557,74394955.86,50820,1723934548.23,3579200.04,0,5638,453387621.06,615203.34,1136200.55,7029,17044553453.26,0,0,124390,54203180881.95,54323986.38,75563944.33
7-Mar,7604,33546,17965,21602,8416375291.40,12163521,12330.42,19111,4696778497.00,15526298,53025219.06,39113,711575465.73,2230554.88,0,3541,155046090.73,395095.50,662284.72,2702,5062825581.44,0,0,86069,19042600926.30,30315469.38,53699834.20
8-Mar,10807,51250,19169,52495,37664391166.04,37103158,154965.15,20745,7871431206.00,20051381,64746779.50,71739,3019680668.45,6096226.93,0,6136,1012693984.80,938808.92,961486.47,9902,25497132279.27,0,0,161017,75065329304.56,64189574.85,65863231.12
9-Mar,10761,47370,17618,45816,31162292844.20,31862140,131363.47,19152,7271548491.21,18448406,59482066.12,64483,3023974370.80,5534466.32,0,5256,762816938.43,765163.57,993319.44,8828,22035858115.25,0,0,143535,64256490759.89,56610175.89,60606749.03
10-Mar,10780,47058,18014,44292,30752498907.25,31016445,195591.92,19536,7473770640.00,19093895,61260128.10,65571,3135642179.69,5387834.80,0,5640,772691857.47,811144.66,1074502.30,8579,20774634596.18,0,0,143618,62909238180.59,56309319.46,62530222.32
